id,instance,goal,result,duration,verdict,corr_result
378,aba_500_0.3_5_10_4.aba,6,YES,26.79,corr,YES
379,aba_2000_0.3_10_5_5.aba,303,,600.0,TIMEOUT,YES
380,aba_500_0.1_10_10_1.aba,347,,600.0,TIMEOUT,YES
381,aba_500_0.3_5_5_8.aba,455,,600.0,TIMEOUT,YES
382,aba_100_0.3_10_5_2.aba,14,,600.0,TIMEOUT,NO
383,aba_2000_0.3_5_5_8.aba,1235,,600.0,TIMEOUT,NO
384,aba_5000_0.1_10_5_2.aba,1824,NO,4.13,inc,YES
385,aba_500_0.1_10_5_3.aba,281,,600.0,TIMEOUT,NO
386,aba_2000_0.3_5_10_2.aba,471,,600.0,TIMEOUT,YES
387,aba_100_0.1_10_10_0.aba,96,,600.0,TIMEOUT,YES
388,aba_5000_0.3_5_10_7.aba,728,,600.0,TIMEOUT,YES
389,aba_2000_0.3_10_10_6.aba,1247,,600.0,TIMEOUT,NO
390,aba_500_0.3_5_10_3.aba,239,,600.0,TIMEOUT,YES
391,aba_100_0.1_5_10_5.aba,4,YES,1.57,corr,YES
392,aba_5000_0.1_10_5_6.aba,4443,,600.0,TIMEOUT,YES
393,aba_100_0.3_10_5_8.aba,10,,600.0,TIMEOUT,NO
394,aba_5000_0.1_10_5_3.aba,2070,,600.0,TIMEOUT,YES
395,aba_25_0.3_5_10_7.aba,8,YES,0.68,corr,YES
396,aba_5000_0.3_10_10_8.aba,1474,,600.0,TIMEOUT,NO
397,aba_500_0.1_5_10_7.aba,42,YES,18.2,corr,YES
398,aba_500_0.3_10_10_3.aba,53,,600.0,TIMEOUT,NO
399,aba_500_0.1_5_10_6.aba,6,YES,20.04,corr,YES
400,aba_2000_0.1_5_10_9.aba,74,,600.0,TIMEOUT,YES
